SURVEYID,MOSTIMPBOAT,MOSTIMPFISH,MOSTIMPSWIM,MOSTIMPFAM,MOSTIMPBIRD,MOSTIMPBEAUTY,GRADERES,GRADECOM,GRADEFARMOP,GRADECONGROUP,GRADELOCALGOV,GRADEREGULATORS,QOLWQ,SLOWECON,CHNGEPRAC,IMPSED,IMPFERT,IMPECOLI,IMPTRASH,IMPSALT,IMPHITEMP,CONEXCESS,CONCONTH2O,CONLOSS,CONODOR,CONDEPGW,CONBEAUTY,CONRECOPP,SEPTICYEAR,SEPTICDK,SEPTICPUMP,SEPTICINSPECT,SCHECKROOTS,SCHECKWET,SCHECKCLOGS,SCHECKCOVER,STIME,SCOST,SIMPORTANT,SLACKINFO,NSOILTESTFAM,NMANUFERTFAM,ENOTILLFAM,ECOVERFAM,EWATERWAYFAM,NVRTFAM,GENDER,YRBORN,BLACK,AMERIND,ASIAN,LATINO,MULTIRAC,WHITE,PREFERNOTTO,EDUCATION,TIMERES,SIZE,ANIMALS,CROPS,TYPE,FAMCURREN,RESIDENTIAL,SMALLFARM,LARGEFARM
0001,0,0,0,0,0,1,3,3,4,3,2,2,3,4,4,1,1,1,2,1,1,1,1,1,1,1,1,1, , ,3,3,2,2,2,2,3,4,2,3, , , , , , ,0,1965,0,0,0,0,0,1, ,2,26,10,0,0,1,0,1,0,0
0002,1,0,0,0,0,0,3,4,4,4,3,2,4,4,3,3,3,2,3,9,9,9,9,9,9,2,2,9, , ,3,3,4,4,4,4,3,1,1,1,4,4,3,4,4,4,0,1964,0,0,0,0,0,1, ,3,36,400,0,1,3,30,0,0,1
0003,0,1,0,0,0,0,4,4,3,5,3,4,4,5,3,2,3,1,3,9,2,2,1,1,1,1,2,2, ,9,0,0,1,4,1,4,2,4,1,3, , , , , , ,0,1957,0,0,0,0,0,1, ,3,30,1.5,0,0,1,0,1,0,0
0004,0,0,0,0,0,1,4, , ,5,3, ,5,4,3,1,9,2,2,9,9,9,3,3,1,3,3,3, , ,3, ,1,4,1,1,3,3,3,3, , , , , , ,1,1983,0,0,0,0,0,0,9,5,14,20,0,0,1, ,1,0,0
0005,0,0,0,0,0,1,3,1,1,3,3,3,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4, , ,2,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,0,1941,0,0,0,0,0,1, ,6,30,200,0,1,3, ,0,0,1
0006,0,1,0,0,0,0,4,3,1,3,3,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3, ,9,3,0,2,2,2,2,1,1,1,1, , , , , , ,9,1947,0,0,0,0,0,1, ,3,42,15,0,0,1, ,1,0,0
0007,1,0,0,0,0,0,4, ,2,3,2,1,5,4,4,2,3,4,4,4,4,3,4,3,2,3,3,2, , ,1,1,2,1,1,1,3,4,3,4, , , , , , ,0,1964,0,0,0,0,0,1, ,3,27,1.25,0,0,1, ,1,0,0
0008,1,1,1,1,1,1,1,1,1,4,1,4,5,4,5,4,4,4,4,9,4,4,4,4,4,4,4,4, , ,3,0,1,1,1,1,1,1,1,4, , , , , , ,1,1959,0,0,0,0,0,1, ,3,35,100,0,0,3,35,0,0,1
0009,1,0,0,0,0,0,4,3,4,4,4,4,4,3,4,9,9,9,9,9,9,9,9,9,9,9,9,9, ,9,3,2,3,2,2,2,1,1,4,4, , , , , , ,1,1988,0,0,0,0,0,1, ,5,1.5,1,0,0,1, ,1,0,0
0010,0,0,0,1,0,0,4,3,3,4,3,3,5,4,4,1,9,9,2,9,9,1,9,2,1,2,1,1,1991, ,2,2,1,2,1,2,1,3,3,3, , , , , , , , ,0,0,0,0,0,1, ,4,39,1.75,0,0,1,0,1,0,0
